Name,doc_lrml_f_score,random_lrml_f_score,doc_lrml_f_score.1,random_lrml_f_score.1,doc_lrml_f_score_test,random_lrml_f_score_test,doc_lrml_f_score_test.1,random_lrml_f_score_test.1,doc_bleu_test,random_bleu_test,doc_bleu_test.1,random_bleu_test.1,doc_Runtime,random_Runtime,doc_Runtime.1,random_Runtime.1,doc_lrml_precision_test,random_lrml_precision_test,doc_lrml_precision_test.1,random_lrml_precision_test.1,doc_lrml_recall_test,random_lrml_recall_test,doc_lrml_recall_test.1,random_lrml_recall_test.1,doc_bleu_test_no_sep,random_bleu_test_no_sep,doc_bleu_test_no_sep.1,random_bleu_test_no_sep.1,doc_bleu_test_oracle,random_bleu_test_oracle,doc_bleu_test_oracle.1,random_bleu_test_oracle.1,doc_lrml_f_score_test_no_sep,random_lrml_f_score_test_no_sep,doc_lrml_f_score_test_no_sep.1,random_lrml_f_score_test_no_sep.1,doc_lrml_f_score_test_oracle,random_lrml_f_score_test_oracle,doc_lrml_f_score_test_oracle.1,random_lrml_f_score_test_oracle.1,doc_lrml_precision_test_no_sep,random_lrml_precision_test_no_sep,doc_lrml_precision_test_no_sep.1,random_lrml_precision_test_no_sep.1,doc_lrml_precision_test_oracle,random_lrml_precision_test_oracle,doc_lrml_precision_test_oracle.1,random_lrml_precision_test_oracle.1,doc_lrml_recall_test_no_sep,random_lrml_recall_test_no_sep,doc_lrml_recall_test_no_sep.1,random_lrml_recall_test_no_sep.1,doc_lrml_recall_test_oracle,random_lrml_recall_test_oracle,doc_lrml_recall_test_oracle.1,random_lrml_recall_test_oracle.1
,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std
t5-amr_0_ir-consi-fixed-loss2_pe3_ir,68.7,68.4,0.4,0.4,55.4,66.4,1.2,0.3,64.7,71.1,0.3,1.1,7610.0,1314.3,834.9,25.7,52.4,69.5,0.9,0.3,58.8,63.6,1.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_0_ir-consi-fixed-loss2_pe3_train-oracle,68.8,68.4,0.5,0.4,55.5,66.4,1.2,0.4,64.9,70.9,0.3,1.5,1540.3,2253.0,12.0,557.4,52.6,69.5,0.9,0.3,58.7,63.5,1.5,0.9,0.0,0.0,0.0,0.0,98.3,96.5,0.7,0.6,0.0,0.0,0.0,0.0,99.3,98.5,0.2,0.1,0.0,0.0,0.0,0.0,99.6,99.0,0.0,0.2,0.0,0.0,0.0,0.0,99.0,98.1,0.3,0.2
t5-amr_0_ir-consi-fixed-loss2_pe3_train-oracle-pred,68.9,68.4,0.5,0.5,55.4,66.5,1.1,0.3,64.7,71.2,0.3,1.1,2072.7,15150.3,7.2,9.2,52.4,69.6,0.9,0.4,58.7,63.7,1.4,0.7,0.0,0.0,0.0,0.0,97.7,94.7,0.9,0.2,0.0,0.0,0.0,0.0,98.9,98.2,0.2,0.1,0.0,0.0,0.0,0.0,99.3,98.9,0.1,0.2,0.0,0.0,0.0,0.0,98.5,97.5,0.4,0.1
t5-amr_0_ir-consi-fixed-loss2_pe3_train-pred,68.8,68.0,0.5,0.3,56.4,65.5,1.5,1.0,66.2,67.7,2.2,4.2,1497.7,1477.7,28.6,4.0,54.3,69.5,2.1,0.9,58.7,61.9,1.4,1.8,0.0,0.0,0.0,0.0,76.4,80.1,4.8,2.1,0.0,0.0,0.0,0.0,73.6,87.5,2.6,4.2,0.0,0.0,0.0,0.0,73.6,91.7,2.9,5.3,0.0,0.0,0.0,0.0,73.6,83.8,2.6,3.4
t5-amr_ir_0_ir-consi-fixed-loss2_pe3_train-oracle,68.8,68.4,0.4,0.5,55.4,66.4,1.2,0.3,64.7,71.1,0.3,1.2,1547.3,6016.0,7.6,666.8,52.4,69.5,1.0,0.3,58.8,63.6,1.5,0.8,40.6,47.2,1.5,2.0,97.8,96.5,0.4,0.3,45.2,54.2,1.4,1.7,98.8,98.3,0.1,0.3,51.5,61.6,0.3,2.1,99.4,98.7,0.1,0.6,40.4,48.3,2.3,1.6,98.2,97.9,0.1,0.1
t5-amr_ir_0_ir-consi-fixed-loss2_pe3_train-oracle-pred,70.0,69.4,0.5,0.7,55.5,67.7,1.2,0.2,62.5,71.9,4.1,1.1,2056.0,3189.3,9.5,38.4,52.6,70.5,0.5,0.7,58.9,65.2,2.0,0.3,62.6,70.6,3.5,1.9,85.8,93.0,10.0,2.5,52.3,65.5,0.3,1.0,90.8,95.0,0.8,1.0,52.2,68.4,1.6,0.8,90.0,95.5,0.8,0.8,52.3,62.9,1.6,1.6,91.7,94.5,0.9,1.4
t5-amr_ir_0_ir-consi-fixed-loss2_pe3_train-pred,71.3,70.5,0.6,0.7,56.5,70.9,1.4,0.5,64.9,74.4,0.5,0.9,2140.3,4972.7,33.5,606.7,53.9,72.2,2.7,0.8,59.5,69.6,0.3,0.9,65.5,74.4,2.3,1.0,68.4,77.1,1.8,1.3,56.4,71.0,1.3,1.4,59.8,73.3,0.8,1.6,54.9,72.9,0.8,1.8,56.5,74.0,1.1,1.5,58.0,69.2,2.0,1.0,63.5,72.7,1.5,1.7
