Name,doc_lrml_f_score,random_lrml_f_score,doc_lrml_f_score.1,random_lrml_f_score.1,doc_lrml_f_score_test,random_lrml_f_score_test,doc_lrml_f_score_test.1,random_lrml_f_score_test.1,doc_bleu_test,random_bleu_test,doc_bleu_test.1,random_bleu_test.1,doc_Runtime,random_Runtime,doc_Runtime.1,random_Runtime.1,doc_lrml_precision_test,random_lrml_precision_test,doc_lrml_precision_test.1,random_lrml_precision_test.1,doc_lrml_recall_test,random_lrml_recall_test,doc_lrml_recall_test.1,random_lrml_recall_test.1,doc_bleu_test_no_sep,random_bleu_test_no_sep,doc_bleu_test_no_sep.1,random_bleu_test_no_sep.1,doc_bleu_test_oracle,random_bleu_test_oracle,doc_bleu_test_oracle.1,random_bleu_test_oracle.1,doc_lrml_f_score_test_no_sep,random_lrml_f_score_test_no_sep,doc_lrml_f_score_test_no_sep.1,random_lrml_f_score_test_no_sep.1,doc_lrml_f_score_test_oracle,random_lrml_f_score_test_oracle,doc_lrml_f_score_test_oracle.1,random_lrml_f_score_test_oracle.1,doc_lrml_precision_test_no_sep,random_lrml_precision_test_no_sep,doc_lrml_precision_test_no_sep.1,random_lrml_precision_test_no_sep.1,doc_lrml_precision_test_oracle,random_lrml_precision_test_oracle,doc_lrml_precision_test_oracle.1,random_lrml_precision_test_oracle.1,doc_lrml_recall_test_no_sep,random_lrml_recall_test_no_sep,doc_lrml_recall_test_no_sep.1,random_lrml_recall_test_no_sep.1,doc_lrml_recall_test_oracle,random_lrml_recall_test_oracle,doc_lrml_recall_test_oracle.1,random_lrml_recall_test_oracle.1
,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std,mean,mean,std,std
t5-amr_0_ir-consi_train-oracle,68.8,68.4,0.5,0.4,55.5,66.4,1.2,0.4,64.9,70.9,0.3,1.5,1672.7,3377.3,659.4,3591,52.6,69.5,0.9,0.3,58.7,63.5,1.5,0.9,0,0,0,0,98.3,96.5,0.7,0.6,0,0,0,0,99.3,98.5,0.2,0.1,0,0,0,0,99.6,99,0,0.2,0,0,0,0,99,98.1,0.3,0.2
t5-amr_ir_0_ir-consi_train-a-pred,70,70,0.5,0.4,55.9,67.3,1.3,0.6,65,71.4,1.1,1.7,3966.7,2905,1123.4,2258.4,52.9,70.1,1.5,1.3,59.1,64.7,1.1,0.7,64.4,70.2,3.8,0.6,73.4,84.2,4.3,2.1,53.1,66.7,1,0.2,76.1,85.7,2.2,1.2,52.5,70.3,1.1,0.2,76,87,1.5,0.2,53.7,63.4,0.9,0.4,76.3,84.4,3.3,2.2
t5-amr_0_ir-consi_train-oracle-pred,68.9,68.4,0.5,0.5,55.4,66.5,1.1,0.3,64.7,71.2,0.3,1.1,2922.7,2952.3,309.3,1180.6,52.4,69.6,0.9,0.4,58.7,63.7,1.4,0.7,0,0,0,0,97.7,94.7,0.9,0.2,0,0,0,0,98.9,98.2,0.2,0.1,0,0,0,0,99.3,98.9,0.1,0.2,0,0,0,0,98.5,97.5,0.4,0.1
t5-amr_ir_0_ir-consi_train-oracle,68.8,68.4,0.4,0.5,55.4,66.4,1.2,0.3,64.7,71.1,0.3,1.2,2491.3,2358,1351.6,432.8,52.4,69.5,1,0.3,58.8,63.6,1.5,0.8,40.6,47.2,1.5,2,97.8,96.5,0.4,0.3,45.2,54.2,1.4,1.7,98.8,98.3,0.1,0.3,51.5,61.6,0.3,2.1,99.4,98.7,0.1,0.6,40.4,48.3,2.3,1.6,98.2,97.9,0.1,0.1
t5-amr_0_ir-consi_train-a-pred,68.8,68.4,0.5,0.5,55.3,66.3,1.2,0.4,65.1,69.7,0.8,1.1,2617.7,2025,1328.7,951.7,52.4,69.8,1,0.5,58.7,63.1,1.4,0.6,0,0,0,0,90.9,92.4,8.5,1.4,0,0,0,0,98.6,97.4,0.3,0.5,0,0,0,0,99,98.8,0.8,0.3,0,0,0,0,98.2,96,0.3,0.7
t5-amr_0_ir-consi_ir,68.7,68.4,0.4,0.4,55.4,66.4,1.2,0.3,64.7,71.1,0.3,1.1,1482.7,2253.7,380.3,2019.9,52.4,69.5,0.9,0.3,58.8,63.6,1.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5-amr_ir_0_ir-consi_train-oracle-pred,70,69.4,0.5,0.7,55.5,67.7,1.2,0.2,62.5,71.9,4.1,1.1,3691.3,3084.3,2709.7,1151.1,52.6,70.5,0.5,0.7,58.9,65.2,2,0.3,62.6,70.6,3.5,1.9,85.8,93,10,2.5,52.3,65.5,0.3,1,90.8,95,0.8,1,52.2,68.4,1.6,0.8,90,95.5,0.8,0.8,52.3,62.9,1.6,1.6,91.7,94.5,0.9,1.4
